"","V1"
"1",1.99132
"2",0.00403
"3",2.27
"4",0.84833
"5",1.89112
"6",-0.28
"7",3.68431
"8",1.62478
"9",1.21599
"10",1.28373
"11",1.70141
"12",3.16687
"13",2.32779
"14",2.26202
"15",1.91218
"16",3.53196
"17",-0.31777
"18",3.44694
"19",1.52422
"20",0.74268
"21",1.31541
"22",0.36646
"23",3.59562
"24",3.6574
"25",0.97494
"26",-0.5328
"27",1.12681
"28",0.31123
"29",0.57834
"30",1.08163
"31",0.24977
"32",0.23792
"33",-0.32653
"34",1.14733
"35",1.19323
"36",2.58962
"37",0.01195
"38",2.63842
"39",0.42092
"40",2.58823
"41",-2.19809
"42",2.89548
"43",1.8213
"44",0.86332
"45",0.67496
"46",0.34435
"47",1.22762
"48",-2.83991
"49",-1.8163
"50",-2.22965
"51",-1.58457
"52",-6.31184
"53",-2.46258
"54",-5.61479
"55",-3.53887
"56",1.0178
"57",-1.58875
"58",-1.85396
"59",-0.2567
"60",2.42226
"61",-1.29502
"62",-0.48977
"63",1.21167
"64",-4.85498
"65",-3.599
"66",0.17094
"67",1.51603
"68",-1.85304
"69",-5.60478
"70",-1.25767
"71",0.96658
"72",-3.09451
"73",-5.26773
"74",-4.03154
"75",-1.76618
"76",-5.73978
"77",3.83047
"78",0.52007
"79",-0.18033
"80",3.82808
"81",3.01171
"82",2.75289
"83",11.74184
"84",9.91701
"85",3.03444
"86",10.15143
"87",9.29177
"88",6.87498
"89",2.43675
"90",4.37202
"91",6.77774
"92",4.16692
"93",5.65037
"94",5.17734
"95",9.41206
"96",3.77006
"97",4.24568
"98",4.53154
"99",3.39706
"100",8.93951
"101",4.20825
"102",3.43461
"103",4.30529
