,HAM31,HAM32,HAM33,HAM34,HAM35,HAM36,HAM37,HFRX Commodity Index,DJUBS Commodity,Morningstar CLS,Newedge CTI
2001-01-31,,,-0.0365,0.0989,,,,,-0.0235,-0.0087,-0.0061
2001-02-28,,,0.0051,-0.1894,,,,,-0.0042,0.0083,0.0087
2001-03-31,,,0.0909,-0.0115,,,,,-0.0426,0.0244,0.0086
2001-04-30,,,0.0446,0.0574,,,,,0.0352,0.0202,0.0055
2001-05-31,,,-0.1056,-0.1345,,,,,-0.021,0.0103,-0.0082
2001-06-30,,,0.1509,0.1151,,,,,-0.0399,-0.0141,0.0049
2001-07-31,,,0.0736,0.0789,,,,,0.013,-0.0028,0.0428
2001-08-31,,,-0.0578,-0.0866,,,,,-0.0004,0.0014,-0.0393
2001-09-30,,,-0.0411,-0.14,,,,,-0.0675,0.0071,0.0364
2001-10-31,,,-0.0572,-0.0306,,,,,-0.0475,-0.0014,0.0527
2001-11-30,,,0.0504,-0.0296,,,,,0.0077,-0.0284,0.0082
2001-12-31,,,-0.0205,0.1326,,,,,-0.0197,0.0196,-0.0449
2002-01-31,,,-0.0268,-0.0114,,,,,-0.0067,-0.0025,-0.0073
2002-02-28,,,0.1251,0.0546,,,,,0.0259,0.0138,0.0244
2002-03-31,,,0.0854,-0.092,,,,,0.1023,-0.0086,0.0082
2002-04-30,,,0.0245,0.2026,,,,,0,0.0179,0.0025
2002-05-31,,,0.124,0.2568,,,,,-0.0154,-0.0308,0.0317
2002-06-30,,,0.0884,-0.0148,,,,,0.0194,0.0172,0.0123
2002-07-31,,,0.0199,-0.0853,,,,,-0.0054,0.0013,0.0727
2002-08-31,,,0.005,-0.083,,,,,0.0394,0.0326,0.0605
2002-09-30,,,0.0064,-0.1063,,,,,0.0377,0.0325,0.0119
2002-10-31,,,0.0406,0.2691,,,,,-0.0103,-0.0221,0.0578
2002-11-30,,,0.0021,0.1537,,,,,0.0028,-0.0144,0.1085
2002-12-31,,,0.0043,-0.127,,,,,0.049,0.0647,-0.0056
2003-01-31,,,0.0063,-0.0039,,,,,0.077,0.0689,-0.0059
2003-02-28,,,-0.0008,-0.1253,,,,,0.0336,0.0463,-0.0038
2003-03-31,,,0,0.1891,,,,,-0.0754,-0.0828,-0.0507
2003-04-30,,,-0.0235,0.1473,,,,,-0.0062,-0.01,-0.027
2003-05-31,,,0.0172,0.1452,,,,,0.0585,0.0214,0.0173
2003-06-30,,,-0.0078,-0.0079,,,,,-0.0247,-0.0177,-0.0017
2003-07-31,,,0.0017,-0.0183,,,,,0.006,-0.0018,0.1263
2003-08-31,,,0.0089,0.05,,,,,0.0395,-0.0015,0.0365
2003-09-30,,,0.001,-0.0014,,,,,0.0008,-0.0242,0.0405
2003-10-31,,,-0.0019,0.077,,,,,0.0478,0.0361,0.0998
2003-11-30,,,0.0023,0.0613,,,,,-0.0031,0.0118,0.014
2003-12-31,,,0.0033,0.1046,,,,,0.0738,0.035,0.0166
2004-01-31,,,0.004,0.0064,,,,,0.0181,0.0028,0.009
2004-02-29,,,0.0057,0.0467,,,,,0.0649,0.075,0.0586
2004-03-31,,,0.0054,0.0491,,,,,0.0309,0.0311,0.0641
2004-04-30,,,-0.017,-0.1178,,,-0.0127,,-0.0177,0.0098,-0.0047
2004-05-31,,,0.0101,-0.0506,,,0.0068,,0.017,0.0029,-0.01
2004-06-30,,,-0.0198,0.0048,,,0.0274,,-0.0415,-0.0114,-0.0186
2004-07-31,,,0.0152,-0.0383,,,0.0542,,0.0177,0.0275,0.0335
