,"Convertible Arbitrage","CTA Global","Distressed Securities","Emerging Markets","Equity Market Neutral","Event Driven","Fixed Income Arbitrage","Global Macro","Long/Short Equity","Merger Arbitrage","Relative Value","Short Selling","Funds of Funds"
1997-01-31,0.0119,0.0393,0.0178,0.0791,0.0189,0.0213,0.0191,0.0573,0.0281,0.0150,0.0180,-0.0166,0.0317
1997-02-28,0.0123,0.0298,0.0122,0.0525,0.0101,0.0084,0.0122,0.0175,-0.0006,0.0034,0.0118,0.0426,0.0106
1997-03-31,0.0078,-0.0021,-0.0012,-0.0120,0.0016,-0.0023,0.0109,-0.0119,-0.0084,0.0060,0.0010,0.0778,-0.0077
1997-04-30,0.0086,-0.0170,0.0030,0.0119,0.0119,-0.0005,0.0130,0.0172,0.0084,-0.0001,0.0122,-0.0129,0.0009
1997-05-31,0.0156,-0.0015,0.0233,0.0315,0.0189,0.0346,0.0118,0.0108,0.0394,0.0197,0.0173,-0.0737,0.0275
1997-06-30,0.0212,0.0085,0.0217,0.0581,0.0165,0.0258,0.0108,0.0218,0.0223,0.0231,0.0198,-0.0065,0.0225
1997-07-31,0.0193,0.0591,0.0234,0.0560,0.0247,0.0307,0.0095,0.0738,0.0454,0.0200,0.0181,-0.0429,0.0435
1997-08-31,0.0134,-0.0473,0.0147,-0.0066,0.0017,0.0071,0.0087,-0.0180,0.0107,0.0079,0.0103,-0.0072,0.0051
1997-09-30,0.0122,0.0198,0.0350,0.0229,0.0202,0.0329,0.0119,0.0290,0.0429,0.0197,0.0183,-0.0155,0.0334
1997-10-31,0.0100,-0.0098,-0.0064,-0.0572,0.0095,0.0061,-0.0032,-0.0142,0.0010,0.0094,0.0079,0.0572,-0.0099
1997-11-30,0.0000,0.0133,0.0054,-0.0378,0.0041,0.0134,0.0053,0.0106,-0.0026,0.0223,0.0111,0.0217,-0.0034
1997-12-31,0.0068,0.0286,0.0073,0.0160,0.0066,0.0154,0.0079,0.0264,0.0104,0.0158,0.0082,0.0161,0.0089
1998-01-31,0.0145,0.0104,0.0095,-0.0429,0.0060,0.0055,-0.0026,-0.0050,0.0013,0.0055,0.0132,0.0014,-0.0036
1998-02-28,0.0146,-0.0065,0.0227,0.0339,0.0135,0.0294,0.0098,0.0128,0.0342,0.0212,0.0130,0.0155,0.0256
1998-03-31,0.0144,0.0122,0.0252,0.0318,0.0179,0.0263,0.0128,0.0570,0.0336,0.0164,0.0145,0.0637,0.0373
1998-04-30,0.0126,-0.0296,0.0165,0.0041,0.0067,0.0104,0.0075,0.0034,0.0120,0.0139,0.0145,0.0657,0.0125
