,HAM1,HAM2,HAM3,HAM4,HAM5,HAM6,EDHEC LS EQ,SP500 TR,US 10Y TR,US 3m TR
1996-01-31,0.0074,,0.0349,0.0222,,,,0.034,0.0038,0.00456
1996-02-29,0.0193,,0.0351,0.0195,,,,0.0093,-0.03532,0.00398
1996-03-31,0.0155,,0.0258,-0.0098,,,,0.0096,-0.01057,0.00371
1996-04-30,-0.0091,,0.0449,0.0236,,,,0.0147,-0.01739,0.00428
1996-05-31,0.0076,,0.0353,0.0028,,,,0.0258,-0.00543,0.00443
1996-06-30,-0.0039,,-0.0303,-0.0019,,,,0.0038,0.01507,0.00412
1996-07-31,-0.0231,,-0.0337,-0.0446,,,,-0.0442,-0.001,0.00454
1996-08-31,0.0395,-0.0001,0.0461,0.0351,,,,0.0211,-0.00448,0.00451
1996-09-30,0.0147,0.1002,0.0653,0.0757,,,,0.0563,0.02229,0.0047
1996-10-31,0.0288,0.0338,0.0395,-0.018,,,,0.0276,0.02869,0.00428
1996-11-30,0.0156,0.0737,0.0666,0.0458,,,,0.0756,0.02797,0.00427
1996-12-31,0.0176,0.0298,0.0214,0.0439,,,,-0.0198,-0.02094,0.00442
1997-01-31,0.0212,0.0794,0.0771,0.0437,,,0.0281,0.0625,-0.00055,0.00457
1997-02-28,0.0022,-0.0082,-0.0374,0.0312,,,-0.0006,0.0078,-0.00167,0.0039
1997-03-31,0.0094,-0.0269,-0.0336,0.0113,,,-0.0084,-0.0411,-0.01958,0.00422
1997-04-30,0.0126,-0.0061,0.0286,0.0354,,,0.0084,0.0597,0.01954,0.00477
1997-05-31,0.0438,0.0539,0.0759,0.0789,,,0.0394,0.0609,0.01033,0.00513
1997-06-30,0.0231,0.0552,0.0054,0.0412,,,0.0223,0.0448,0.01665,0.00365
1997-07-31,0.0154,0.115,0.1081,0.0794,,,0.0454,0.0796,0.04161,0.0045
1997-08-31,0.0237,-0.0197,-0.0028,0.0143,,,0.0107,-0.056,-0.02148,0.00428
1997-09-30,0.0219,0.0576,0.0549,0.0217,,,0.0429,0.0548,0.02153,0.00458
1997-10-31,-0.0207,-0.0222,-0.0354,0.0056,,,0.001,-0.0334,0.0262,0.00427
1997-11-30,0.025,-0.0051,0.0176,-0.0067,,,-0.0026,0.0463,0.00241,0.0039
1997-12-31,0.011,0.0192,-0.0003,0.0116,,,0.0104,0.0172,0.01311,0.00429
1998-01-31,0.0056,-0.0112,0.0491,-0.0041,,,0.0013,0.0111,0.02067,0.00468
1998-02-28,0.0429,0.1007,0.0466,0.0324,,,0.0342,0.0721,-0.00846,0.00355
1998-03-31,0.0362,0.0625,0.0208,0.0404,,,0.0336,0.0512,0.00159,0.00473
1998-04-30,0.0078,-0.001,0.0234,0.0242,,,0.012,0.0101,0.00333,0.00449
1998-05-31,-0.0231,-0.0107,-0.0136,-0.0047,,,-0.0087,-0.0172,0.01102,0.00416
1998-06-30,0.0121,0.0392,0.0395,-0.0133,,,0.0167,0.0406,0.01324,0.00419
1998-07-31,-0.0215,-0.0272,0.0005,-0.0723,,,-0.0006,-0.0106,0.00051,0.00443
1998-08-31,-0.0944,0,-0.0718,-0.1759,,,-0.0552,-0.1446,0.03923,0.00456
1998-09-30,0.0248,-0.0046,0.0665,0.0549,,,0.0206,0.0641,0.05055,0.00511
1998-10-31,0.0558,0.0349,-0.0051,-0.0503,,,0.0169,0.0813,-0.00991,0.00393
1998-11-30,0.0126,0.0699,0.0555,0.0887,,,0.0291,0.0606,-0.00937,0.00333
1998-12-31,0.0097,0.0913,0.0464,-0.0108,,,0.0408,0.0576,0.01028,0.00395
1999-01-31,-0.0093,0.0787,0.0269,0.041,,,0.0258,0.0418,0.00417,0.00355
1999-02-28,0.0094,-0.023,-0.053,-0.0549,,,-0.0169,-0.0311,-0.04474,0.00287
1999-03-31,0.0462,0.1082,0.0187,-0.0615,,,0.0229,0.04,0.00884,0.00411
1999-04-30,0.051,0.0166,0.0417,0.0684,,,0.0312,0.0387,-0.00427,0.00385
1999-05-31,0.0162,-0.0002,0.0079,0.0635,,,0.0095,-0.0236,-0.01909,0.00389
