,portfolio monthly return (%), benchmark return (%)
2000-01-31,0.003,0.002
2000-02-28,0.026,0.025
2000-03-31,0.011,0.018
2000-04-30,-0.010,-0.011
2000-05-31,0.015,0.014
2000-06-30,0.025,0.018
2000-07-31,0.016,0.014
2000-08-31,0.067,0.065
2000-09-30,-0.014,-0.015
2000-10-31,0.040,0.042
2000-11-30,-0.005,-0.006
2000-12-31,0.081,0.083
2001-01-31,0.040,0.039
2001-02-28,-0.037,-0.038
2001-03-31,-0.061,-0.062
2001-04-30,0.017,0.015
2001-05-31,-0.049,-0.048
2001-06-30,-0.022,0.021
2001-07-31,0.070,0.060
2001-08-31,0.058,0.056
2001-09-30,-0.065,-0.067
2001-10-31,0.024,0.019
2001-11-30,-0.005,-0.003
2001-12-31,-0.009,0
