Code,Mean,StDev,Phi,Sigma,t-Stat(Phi)
HFRIFOF Index,0.005516691,0.016969081,0.35942732,0.015835089,6.246140275
HFRIFWI Index,0.008881851,0.020176781,0.304802238,0.019216682,5.190679363
HFRIEHI Index,0.009858566,0.026444472,0.26510117,0.025498305,4.460055655
HFRIMI Index,0.009527016,0.021496073,0.184350274,0.021127643,3.041856755
HFRIFOFD Index,0.005179518,0.017416384,0.353548291,0.016291569,6.129496094
HFRIDSI Index,0.009621101,0.018800339,0.545792492,0.015753187,10.56122157
HFRIEMNI Index,0.005182009,0.009427888,0.164396537,0.009299616,2.703456292
HFRIFOFC Index,0.004809119,0.011620459,0.455662847,0.01034398,8.302257893
HFRIEDI Index,0.009536151,0.019247216,0.391629021,0.01770981,6.902140563
HFRIMTI Index,0.008528045,0.021556689,-0.0188129,0.021552874,-0.305148009
HFRIFIHY Index,0.007177975,0.017707746,0.483806908,0.015497372,8.972011994
HFRIFI Index,0.006855376,0.012881753,0.505908165,0.011111637,9.587381222
HFRIRVA Index,0.008020951,0.012975483,0.452790992,0.011569158,8.242977673
HFRIMAI Index,0.007142082,0.010437017,0.298219544,0.009962104,5.067023312
HFRICAI Index,0.007122016,0.019973858,0.578004656,0.016299336,11.48654001
HFRIEM Index,0.010352034,0.041000178,0.359277175,0.038262633,6.243082394
HFRIEMA Index,0.007989882,0.038243416,0.311226738,0.036344083,5.310865179
HFRISHSE Index,-0.001675503,0.053512968,0.090737496,0.053292219,1.477615589
HFRIEMLA Index,0.011074013,0.05084986,0.196931418,0.04985408,3.257468873
HFRIFOFS Index,0.006834983,0.024799788,0.323053217,0.023470043,5.536016371
HFRIENHI Index,0.010092318,0.036682513,0.201118844,0.035932974,3.329910279
HFRIFWIG Index,0.009382896,0.035972197,0.231372973,0.034996096,3.857301725
HFRIFOFM Index,0.005607926,0.015907089,0.042154535,0.015892949,0.684239764
HFRIFWIC Index,0.008947104,0.039009601,0.050499002,0.038959829,0.820004462
HFRIFWIJ Index,0.008423965,0.03629762,0.0953987,0.036132072,1.554206093
HFRISTI Index,0.011075118,0.046441033,0.160831261,0.04583646,2.642789417
