;"S&P";"barclays";"3 month t-bill"
1976-01-31;0.1183057989;0.0109;0.0473
1976-02-29;-0.0114019433;0.0033;0.05
1976-03-31;0.0306889981;0.0214;0.0497
1976-04-30;-0.0109954267;-0.0027;0.0491
1976-05-31;-0.0143644235;-0.0128;0.0549
1976-06-30;0.0409263326;0.0199;0.0537
1976-07-31;-0.0080552359;0.006;0.0517
1976-08-31;-0.0051237432;0.0238;0.0509
1976-09-30;0.0226411427;0.014;0.0506
1976-10-31;-0.0222348917;0.0098;0.0489
1976-11-30;-0.0077745384;0.0333;0.0442
1976-12-31;0.0524975514;0.0352;0.0434
1977-01-31;-0.0505304299;-0.0373;0.0472
1977-02-28;-0.021660296;-0.0027;0.047
1977-03-31;-0.0140252454;0.0081;0.0454
1977-04-30;0.0002032107;0.008;0.0469
1977-05-31;-0.0235676554;0.0109;0.0503
1977-06-30;0.0453599667;0.0171;0.0498
1977-07-31;-0.0162221338;-0.0057;0.054
1977-08-31;-0.0210419828;0.0183;0.0556
1977-09-30;-0.0024801075;-0.0034;0.0589
1977-10-31;-0.043406195;-0.0105;0.0618
1977-11-30;0.0269655621;0.0113;0.0604
1977-12-31;0.0028472003;-0.0141;0.0613
1978-01-31;-0.0615141956;-0.0086;0.0642
1978-02-28;-0.0247619048;-1e-04;0.0642
1978-03-31;0.0249310662;-0.0032;0.0647
1978-04-30;0.0854164331;6e-04;0.0635
1978-05-31;0.0042342249;-0.006;0.0665
1978-06-30;-0.0175853558;-0.0061;0.0701
1978-07-31;0.0539097666;0.0154;0.0676
1978-08-31;0.0259237187;0.0222;0.0754
1978-09-30;-0.0072611095;-0.0099;0.0798
1978-10-31;-0.0915740199;-0.0211;0.0875
1978-11-30;0.0166398282;0.0182;0.0901
1978-12-31;0.0148891235;-0.0138;0.0926
1979-01-31;0.0397461242;0.0203;0.0929
1979-02-28;-0.0365255679;-0.0142;0.0945
1979-03-31;0.055151641;0.0135;0.0944
1979-04-30;0.0016733931;-0.0118;0.0956
1979-05-31;-0.026336478;0.0242;0.0957
1979-06-30;0.0386556318;0.0333;0.0895
1979-07-31;0.0087455058;-0.0066;0.0918
1979-08-31;0.0530777382;-0.0033;0.0981
1979-09-30;0;-0.0093;0.1012
1979-10-31;-0.0686059276;-0.0819;0.1212
1979-11-30;0.0426242389;0.0298;0.1149
1979-12-31;0.0167671439;0.0038;0.1204
1980-01-31;0.0576246063;-0.077;0.12
1980-02-29;-0.0043798178;-0.0677;0.1401
1980-03-31;-0.1017948267;-0.0066;0.1424
1980-04-30;0.0411401704;0.1463;0.1039
1980-05-31;0.0465707028;0.0401;0.0775
1980-06-30;0.0269687163;0.0347;0.0788
1980-07-31;0.0650385154;-0.0417;0.0862
1980-08-31;0.0058354566;-0.0408;0.0996
1980-09-30;0.025167511;-0.028;0.1144
1980-10-31;0.0160210426;-0.0305;0.1271
1980-11-30;0.1023770299;0.0175;0.1448
1980-12-31;-0.0338741816;0.0385;0.143
1981-01-31;-0.0457424867;-0.0133;0.1459
1981-02-28;0.0132767271;-0.0424;0.1422
1981-03-31;0.0360326046;0.0309;0.1246
1981-04-30;-0.0234558824;-0.0563;0.1486
1981-05-31;-0.0016565018;0.0692;0.151
1981-06-30;-0.0104080247;-0.0228;0.1428
1981-07-31;-0.0022101974;-0.0334;0.1487
1981-08-31;-0.0620989918;-0.0434;0.1552
1981-09-30;-0.0538317453;-0.0177;0.1434
1981-10-31;0.049147874;0.0772;0.1275
1981-11-30;0.0365903684;0.1075;0.1037
1981-12-31;-0.030075188;-0.0447;0.1108
1982-01-31;-0.0175438596;2e-04;0.1252
1982-02-28;-0.0605481728;0.0179;0.1244
1982-03-31;-0.010167094;0.0233;0.1326
1982-04-30;0.0400142908;0.0317;0.1234
1982-05-31;-0.0391618001;0.0073;0.115
