,Trend1,Trend2,Trend3,Trend4,Trend5,Trend6,Trend7,Trend8,Trend9,Trend10,Trend11,Trend12,Trend13,Trend14,Trend15,Trend16,Trend17,Trend18,Trend19,Trend20,Trend21,Trend22,EDHEC CTA,NewEdge CTA,NewEdge Trend Index,Barclay BTOP50
1990-01-31,,,0.0373,,0.0563,,,,,,,,,,,,,,0.0365,,,,,,,0.0008
1990-02-28,,,0.0389,,0.0245,,,,,,,,,,,,,,0.0181,,,,,,,0.0044
1990-03-31,,,0.0308,,0.0568,,,,,,,,,,,,,,0.0945,,,,,,,0.0123
1990-04-30,,,0.0242,,0.0834,,,,,,,,,,,,,,0.129,,,,,,,0.0299
1990-05-31,,,-0.0519,,-0.1209,,,,,,,,,,,,,,-0.079,,,,,,,-0.0315
1990-06-30,,,0.0347,,0.0455,,,,,,,,,,,,,,0.0249,,,,,,,0.0022
1990-07-31,,,0.148,,0.0432,,,,,,,,,,,,,,0.2008,,,,,,,0.0363
1990-08-31,,,0.0333,,0.0898,,-0.0216,,,,,,,,,,,,0.1854,,,,,,,0.0493
1990-09-30,,,0.026,,0.0072,,-0.0262,,,,,,,,,,,,0.0857,,,,,,,0.0229
1990-10-31,,,0.0703,,0.0213,,-0.1475,,,,,,,,,,,,-0.0036,,,,,,,0.0208
1990-11-30,,,0.0291,,0.0007,,0.0901,,,,,,,,,,,,0.0031,,,,,,,0.0074
1990-12-31,,,0.0053,,-0.0082,,-0.0112,,,,,,,,,,,,-0.0009,,,,,,,-0.0094
1991-01-31,,,-0.056,,-0.0759,,0.0115,,,,,,,,,,,,-0.1594,,,,,,,-0.0493
1991-02-28,,,0.0171,,-0.0258,,0.0801,,,,,,,,,,,,0.013,,,,,,,0.0024
1991-03-31,,,0.0307,,0.1604,,0.237,,,,,,,,,,,,0.0243,,,,,,,0.0561
1991-04-30,,,0.0018,,-0.0166,,-0.0329,,,,,,,,,,,,-0.137,,,,,,,0.0058
1991-05-31,,,-0.0078,,0.0266,,-0.1306,,,,,,,,,,,,0.0294,,,,,,,-0.0238
1991-06-30,,,0.0197,,0.0543,,0.1241,,,,,,,,,,,,0.0211,,,,,,,0.0287
1991-07-31,,,-0.038,,-0.0854,,0.0899,,,,,,,,,,,,-0.0152,,,,,,,-0.0185
1991-08-31,,,-0.0596,,-0.0292,,-0.0051,,,,,,,,,,,,-0.0633,,,,,,,-0.005
1991-09-30,,,0.0109,,0.0211,,0.0323,,,,,,,,,,,,0.1161,,,,,,,0.0444
1991-10-31,,,-0.0008,,0.0031,,-0.0096,,,,,0.021,,,,,,,0.1661,,,,,,,-0.0146
1991-11-30,,,0.0033,,-0.0209,,0.025,,,,,0.013,,,,,,,-0.0209,,,,,,,0.0146
1991-12-31,,,0.1766,,0.1601,,0.1696,,,,,0.0963,,,,,,,0.3375,,,,,,,0.1063
1992-01-31,,,-0.0815,,-0.0555,,-0.0677,,,,,-0.0496,,,,,,,-0.126,,,,,,,-0.0663
1992-02-29,,,-0.0103,,-0.0504,,-0.0538,,,,,-0.0191,,,,,,,-0.06,,,,,,,-0.0232
1992-03-31,,,-0.0044,,-0.0261,,0.0551,,,,,0.0141,,,,,,,-0.0547,,,,,,,-0.003
1992-04-30,,,-0.0045,,-0.0222,,-0.0529,,,,,0.013,,,,,,,0.0031,,,,,,,-0.0316
1992-05-31,,,0.0107,,-0.0226,,-0.0024,,,,,0.0212,,,,,,,-0.0571,,,,,,,0.0027
1992-06-30,,,0.1392,,0.1064,,0.1174,,,,,0.0644,,,,,,,0.0658,,,,,,,0.0584
1992-07-31,,,0.0816,,0.1114,,0.1656,,,,,0.0648,,,,,,,0.1652,,,,,,,0.074
1992-08-31,,,0.0694,,0.0453,,0.0813,,,,,0.0392,,,,,,,0.0192,,,,,,,0.0515
1992-09-30,,,0.0005,,-0.0043,,-0.1027,,,,,0.0077,,,,,,,-0.0034,,,,,,,-0.0208
1992-10-31,,,-0.0323,,-0.0321,,0.0188,,,,,-0.0739,,,,,,,-0.0331,,,,,,,-0.0047
